#案由与案由大类对应关系
base base 
civil civil 
criminal criminal 
administration administration 
other other 
金融借款合同纠纷 civil 
劳动合同纠纷 civil 
追索劳动报酬纠纷 civil 
确认劳动关系纠纷 civil 
经济补偿金纠纷 civil 
劳务派遣合同纠纷 civil 
竞业限制纠纷 civil 
非全日制用工纠纷 civil 
集体合同纠纷 civil 
物业服务合同纠纷 civil 
房屋买卖合同纠纷 civil 
民间借贷纠纷 civil 
机动车交通事故责任纠纷 civil 
离婚纠纷 civil 
职务侵占罪 criminal 
非法拘禁罪 criminal 
妨害公务罪 criminal 
聚众斗殴罪 criminal 
故意伤害罪 criminal 
强奸罪 criminal 
抢劫罪 criminal 
盗窃罪 criminal 
交通肇事罪 criminal 
诈骗罪 criminal 
敲诈勒索罪 criminal 
抢夺罪 criminal 
危险驾驶罪 criminal 
贪污受贿 criminal 
拐卖妇女儿童罪 criminal 
信用卡诈骗罪 criminal 
合同诈骗罪 criminal 
集资诈骗罪 criminal 
非法持有毒品罪 criminal 
非法吸收公众存款罪 criminal 
容留他人吸毒罪 criminal 
引诱、容留、介绍卖淫罪 criminal 
减刑假释 other
