# 编号	大类	编号	中类
1	农、林、牧、渔业	1_1	农业
1	农、林、牧、渔业	1_2	林业
1	农、林、牧、渔业	1_3	畜牧业
1	农、林、牧、渔业	1_4	渔业
1	农、林、牧、渔业	1_5	农、林、牧、渔服务业
2	采矿业	2_1	采矿业
3	制造业	3_1	制造业
4	电力、热力、燃气及水生产和供应业	4_1	电力、热力生产和供应业
4	电力、热力、燃气及水生产和供应业	4_2	燃气生产和供应业  
4	电力、热力、燃气及水生产和供应业	4_3	水的生产和供应业  
5	建筑业	5_1	建筑业
6	批发和零售业	6_1	批发和零售业
7	交通运输、仓储和邮政业	7_1	铁路运输业
7	交通运输、仓储和邮政业	7_2	道路运输业
7	交通运输、仓储和邮政业	7_3	水上运输业
7	交通运输、仓储和邮政业	7_4	航空运输业 
7	交通运输、仓储和邮政业	7_5	管道运输业 
7	交通运输、仓储和邮政业	7_6	装卸搬运和运输代理业
7	交通运输、仓储和邮政业	7_7	仓储业 
7	交通运输、仓储和邮政业	7_8	邮政业
8	住宿和餐饮业	8_1	住宿业
8	住宿和餐饮业	8_2	餐饮业
9	信息传输、软件和信息技术服务业	9_1	电信、广播电视和卫星传输服务
9	信息传输、软件和信息技术服务业	9_2	互联网和相关服务
9	信息传输、软件和信息技术服务业	9_3	软件和信息技术服务业
10	金融业	10_1	货币金融服务
10	金融业	10_2	资本市场服务
10	金融业	10_3	保险业
10	金融业	10_4	其他金融业
11	房地产业	11_1	房地产业
12	租赁和商务服务业	12_1	租赁业
12	租赁和商务服务业	12_2	商务服务业
13	科学研究和技术服务业	13_1	科学研究和技术服务业
14	水利、环境和公共设施管理业	14_1	水利管理业
14	水利、环境和公共设施管理业	14_2	生态保护和环境治理业
14	水利、环境和公共设施管理业	14_3	公共设施管理业
15	居民服务、修理和其他服务业	15_1	居民服务业
15	居民服务、修理和其他服务业	15_2	机动车、电子产品和日用产品修理业
15	居民服务、修理和其他服务业	15_3	其他服务业
16	教育	16_1	教育
17	卫生和社会工作	17_1	卫生
17	卫生和社会工作	17_2	社会工作
18	文化、体育和娱乐业	18_1	新闻和出版业
18	文化、体育和娱乐业	18_2	广播、电视、电影和影视录音制作业
18	文化、体育和娱乐业	18_3	文化艺术业
18	文化、体育和娱乐业	18_4	体育
18	文化、体育和娱乐业	18_5	娱乐业
19	公共管理、社会保障和社会组织	19_1	中国共产党机关
19	公共管理、社会保障和社会组织	19_2	国家机构
19	公共管理、社会保障和社会组织	19_3	人民政协、民主党派
19	公共管理、社会保障和社会组织	19_4	社会保障
19	公共管理、社会保障和社会组织	19_5	群众团体、社会团体和其他成员组织
19	公共管理、社会保障和社会组织	19_6	基层群众自治组织
20	国际组织	20_1	国际组织
