继父  继父
继母  继母
养父  养父
养母  养母
父   父亲
母   母亲
子   儿子
女   女儿
兄   哥哥
弟   弟弟
长兄  哥哥
二弟  弟弟
三弟  弟弟
四弟  弟弟
弟   弟弟
姐   姐姐
妹   妹妹
爸   父亲
妈   母亲
祖母  奶奶
祖父  爷爷
爸爸  父亲
妈妈  母亲
长子  儿子
大儿子 儿子
次子  儿子
二儿子 儿子
三儿子 儿子
四儿子 儿子
五儿子 儿子
六儿子 儿子
小儿  儿子
小儿子 儿子
幼子  儿子
幼女  女儿
长女  女儿
次女  女儿
二女儿 女儿
三女儿 女儿
四女儿 女儿
五女儿 女儿
六女儿 女儿
小女儿 女儿
小女  女儿
夫   丈夫
妻   妻子
兄长  哥哥
大哥  哥哥
二哥  哥哥
三哥  哥哥
四哥  哥哥
五哥  哥哥
六哥  哥哥
七哥  哥哥
八哥  哥哥
九哥  哥哥
大姐  姐姐
二姐  姐姐
三姐  姐姐
四姐  姐姐
五姐  姐姐
六姐  姐姐
七姐  姐姐
八姐  姐姐
九姐  姐姐
小妹  妹妹
大伯  伯父
二伯  伯父
三伯  伯父
四伯  伯父
小叔  叔叔
二叔  叔叔
三叔  叔叔
四叔  叔叔
长孙  孙子
侄子  侄儿
姥姥  外婆
姥爷  外公
