## 类别\t(a|b)
博士研究生	(博士|博士文化|博士研究生)
初中毕业	(初中|初中文化|初中毕业)
初中肄业	(初中肄业)
大学本科	(大学|大学文化|大学本科|大学毕业|本科|本科文化|本科毕业)
大学普通班	(大学普通班)
大学肄业	(大学肄业|本科肄业)
党校博士研究生	(党校博士研究生)
党校大学本科	(党校大学本科)
党校硕士研究生	(党校硕士研究生)
党校研究生	(党校研究生)
党校专科毕业	(党校专科毕业)
高中毕业	(高中|高中文化|高中毕业)
高中肄业	(高中肄业)
技工学校毕业	(技工学校毕业)
技工学校肄业	(技工学校肄业)
农业初中毕业	(农业初中毕业)
农业高中毕业	(农业高中毕业)
双学士	(双学士)
硕士研究生	(研究生文化|研究生毕业|硕士|硕士文化|硕士毕业|硕士研究生)
文盲或半文盲	(不认字|不识字|文盲|半文盲|文盲文化)
小学毕业	(小学|小学文化|小学毕业)
小学肄业	(小学肄业)
研究生	(研究生)
研究生肄业	(研究生肄业)
职业初中毕业	(职业初中毕业)
职业高中毕业	(职业高中毕业)
中技毕业	(中技毕业|中专|中专文化|中专毕业|中师|中师文化)
中专或中技肄业	(中专或中技肄业|中专肄业)
专科毕业	(专科毕业|专科|大专|大专文化|大专毕业)
专科肄业	(专科肄业|大专肄业)
